dist_name,reg_name,indicator,value,basis
Rombo,Kilimanjaro,lightning,6,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Momba,Songwe,lightning,5,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Songwe,Songwe,lightning,5,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Same,Kilimanjaro,lightning,6,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Njombe,Njombe,lightning,4,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Mbozi,Songwe,lightning,5,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Mwanga,Kilimanjaro,lightning,6,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Ludewa,Njombe,lightning,4,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Ileje,Songwe,lightning,5,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Hai,Kilimanjaro,lightning,6,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Makete,Njombe,lightning,4,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Moshi,Kilimanjaro,lightning,6,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Misungwi,Mwanza,lightning,8,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Wanging'ombe,Njombe,lightning,4,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Siha,Kilimanjaro,lightning,6,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Kigamboni,Dar es Salaam,lightning,3,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Nyamagana,Mwanza,lightning,9,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
